nohup: ignoring input
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://10.0.0.245:5000/ (Press CTRL+C to quit)
189.82.254.248 - - [06/Feb/2022 01:46:42] "GET / HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:43] "GET /static/javascript/index.js HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:43] "GET /static/assets/cacau1.png HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:44] "GET /static/assets/cocoa.png HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:45] "GET /jbrowse HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:46] "GET /static/jbrowse2/index.html?session=share-SqA4i4HKu6&password=kwHI9 HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:46] "GET /static/jbrowse2/index.html?session=share-8_w4mK%2Fj2I&password=X6Ged HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:46] "GET /static/jbrowse2/index.html?session=share-cjTFGLUjzG&password=BwJ4l HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:46] "GET /static/javascript/index.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:46] "GET /static/assets/jbrowse2.png HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:46] "GET /static/jbrowse2/static/js/24.9b75f91d.chunk.js HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:46] "GET /static/jbrowse2/static/js/main.2ab45cee.chunk.js HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/24.9b75f91d.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/main.2ab45cee.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/24.9b75f91d.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/main.2ab45cee.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/css/14.ffecdec8.chunk.css HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/14.633c39ce.chunk.js HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/23.2dd39a0f.chunk.js HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/css/14.ffecdec8.chunk.css HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/14.633c39ce.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/23.2dd39a0f.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/14.633c39ce.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/css/14.ffecdec8.chunk.css HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:47] "GET /static/jbrowse2/static/js/23.2dd39a0f.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:49] "GET /static/jbrowse2/config.json HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:50] "GET /static/jbrowse2/config.json HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:50] "GET /static/jbrowse2/config.json HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:52] "GET /static/jbrowse2/static/js/0.7932a6fc.chunk.js HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:52] "GET /static/jbrowse2/static/js/2.486360b1.chunk.js HTTP/1.1" 200 -
189.82.254.248 - - [06/Feb/2022 01:46:52] "GET /static/jbrowse2/static/js/2.486360b1.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:52] "GET /static/jbrowse2/static/js/0.7932a6fc.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:52] "GET /static/jbrowse2/static/js/0.7932a6fc.chunk.js HTTP/1.1" 304 -
189.82.254.248 - - [06/Feb/2022 01:46:52] "GET /static/jbrowse2/static/js/2.486360b1.chunk.js HTTP/1.1" 304 -
